"category","icon_name"
"interface-essential-clip","interface-essential-clip-1"
"interface-essential-clip","interface-essential-clip-2"
"interface-essential","interface-essential-clound-download"
"interface-essential-cog","interface-essential-cog-browser"
"interface-essential-cog","interface-essential-cog-double"
"interface-essential-cog","interface-essential-cog-hand-give"
"interface-essential-cog","interface-essential-cog-search"
"interface-essential","interface-essential-crown"
"interface-essential","interface-essential-cursor-select"
"interface-essential-dial-pad","interface-essential-dial-pad-2"
"interface-essential-dial-pad-finger","interface-essential-dial-pad-finger-1"
"interface-essential-dial-pad-finger","interface-essential-dial-pad-finger-2"
"interface-essential","interface-essential-direction-button"
"interface-essential","interface-essential-edit-fill"
"interface-essential","interface-essential-eraser"
"interface-essential","interface-essential-expand-3"
"interface-essential-face","interface-essential-face-id"
"interface-essential-face-id","interface-essential-face-id-1"
"interface-essential","interface-essential-file-error"
"interface-essential","interface-essential-finger-print-scan"
"interface-essential","interface-essential-flag"
"interface-essential","interface-essential-flip-vertical-down"
"interface-essential-hammer","interface-essential-hammer-1"
"interface-essential-hammer","interface-essential-hammer-2"
"interface-essential-hierarchy","interface-essential-hierarchy-1"
"interface-essential-hierarchy","interface-essential-hierarchy-2"
"interface-essential-hierarchy","interface-essential-hierarchy-3"
"interface-essential-hierarchy","interface-essential-hierarchy-4"
"interface-essential-hierarchy","interface-essential-hierarchy-5"
"interface-essential","interface-essential-hyperlink"
"interface-essential","interface-essential-iris-scan-approved"
"interface-essential","interface-essential-key"
"interface-essential-key","interface-essential-key-1"
"interface-essential-key","interface-essential-key-lock"
"interface-essential-key","interface-essential-key-login"
"interface-essential-keyboard-button-direction","interface-essential-keyboard-button-direction-1"
"interface-essential-keyboard-button-direction","interface-essential-keyboard-button-direction-2"
"interface-essential","interface-essential-link"
"interface-essential-link-broken","interface-essential-link-broken-1"
"interface-essential-link-broken","interface-essential-link-broken-2"
"interface-essential-loading-0","interface-essential-loading-0-percent"
"interface-essential-loading-0-percent","interface-essential-loading-0-percent-1"
"interface-essential-loading-100","interface-essential-loading-100-percent"
"interface-essential-loading-100-percent","interface-essential-loading-100-percent-1"
"interface-essential-loading","interface-essential-loading-20-percent"
"interface-essential-loading","interface-essential-loading-25-percent-1"
"interface-essential-loading-50","interface-essential-loading-50-percent"
"interface-essential-loading-50-percent","interface-essential-loading-50-percent-1"
"interface-essential-loading","interface-essential-loading-75-percent-1"
"interface-essential-loading","interface-essential-loading-80-percent"
"interface-essential-loading-circle","interface-essential-loading-circle-1"
"interface-essential-loading-circle","interface-essential-loading-circle-2"
"interface-essential-loading","interface-essential-loading-status"
"interface-essential-lock","interface-essential-lock-door-out"
"interface-essential-lock","interface-essential-lock-shield"
"interface-essential","interface-essential-magnet"
"interface-essential","interface-essential-map"
"interface-essential","interface-essential-move"
"interface-essential-navigation-left-circle","interface-essential-navigation-left-circle-1"
"interface-essential-navigation-left-circle","interface-essential-navigation-left-circle-2"
"interface-essential-navigation-menu","interface-essential-navigation-menu-2"
"interface-essential-navigation-menu","interface-essential-navigation-menu-3"
"interface-essential-navigation","interface-essential-navigation-right-circle-2"
"interface-essential","interface-essential-note-music"
"interface-essential","interface-essential-notification-alert"
"interface-essential","interface-essential-pacman-loading"
"interface-essential-paginate-filter","interface-essential-paginate-filter-camera"
"interface-essential-paginate-filter","interface-essential-paginate-filter-heart"
"interface-essential-paginate-filter","interface-essential-paginate-filter-music"
"interface-essential-paginate-filter","interface-essential-paginate-filter-picture"
"interface-essential-paginate-filter","interface-essential-paginate-filter-video"
"interface-essential","interface-essential-password-type"
"interface-essential-pencil-edit","interface-essential-pencil-edit-1"
"interface-essential-pencil-edit","interface-essential-pencil-edit-2"
"interface-essential","interface-essential-pie-chart-poll-report-2"
"interface-essential","interface-essential-pin"
"interface-essential","interface-essential-profile-female"
"interface-essential-protect","interface-essential-protect-guard"
